Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1985,23,CAL,AL,2,1,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,452,1,0,0,0,0,0,/96,,1985,23,CAL,AL,2,1,0,0,0,1,0,1,0.1,0,1,0.1,.549,.501,0.1,0.1,1,,/96,
1986,24,CAL,AL,6,20,19,1,5,1,0,0,1,0,0,1,0,.263,.300,.316,.616,69,6,2,0,0,0,0,/456,,1986,24,CAL,AL,6,20,-1,0,0,1,0,0,0.0,1,1,0.1,.499,.500,-0.1,0.1,0,,/456,
1987,25,CAL,AL,63,141,137,12,36,3,0,2,15,0,0,2,15,.263,.277,.328,.605,62,45,3,1,0,1,0,65/H4,,1987,25,CAL,AL,63,141,-6,0,0,-1,3,-5,-0.5,5,0,0.0,.492,.497,0.1,0.2,1,"$67,000",65/H4,
1988,26,CAL,AL,54,87,81,4,12,3,0,0,4,0,0,3,11,.148,.179,.185,.364,4,15,2,0,3,0,0,65H/4D,,1988,26,CAL,AL,54,87,-9,-1,0,-3,2,-12,-1.3,3,-9,-1.0,.476,.492,-0.6,-0.1,-6,"$97,000",65H/4D,
1989,27,MIL,AL,79,186,175,15,34,7,0,0,14,3,0,6,18,.194,.230,.234,.464,32,41,6,2,3,0,0,546/HD,,1989,27,MIL,AL,79,186,-14,2,0,0,2,-10,-1.1,7,-4,-0.4,.486,.493,-0.4,0.3,-4,"$130,000",546/HD,
1990,28,MIL,AL,18,15,15,0,1,0,0,0,1,0,0,0,1,.067,.067,.067,.133,-62,1,0,0,0,0,0,5/46,,1990,28,MIL,AL,18,15,-3,0,0,2,0,-1,-0.2,1,-1,-0.1,.492,.499,-0.3,0.2,-2,"$185,000",5/46,
1993,31,FLA,NL,7,6,6,0,1,1,0,0,0,0,0,0,2,.167,.167,.333,.500,28,2,0,0,0,0,0,/H45,,1993,31,FLA,NL,7,6,-1,0,0,-1,0,-1,-0.1,0,-1,-0.1,.479,.499,-0.1,-0.1,-1,,/H45,
