Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2003,25,COL,NL,53,123,116,13,30,7,1,2,7,2,1,5,19,.259,.287,.388,.675,64,45,3,0,1,1,0,9H7/8,,2003,25,COL,NL,53,123,-7,0,0,5,-1,-3,-0.3,4,1,0.0,.494,.498,-0.5,0.4,-4,,9H7/8,
2004,26,COL,NL,28,66,61,5,9,2,0,0,1,0,0,5,17,.148,.212,.180,.392,-2,11,0,0,0,0,2,8/H97,,2004,26,COL,NL,28,66,-9,1,0,0,0,-8,-0.9,2,-6,-0.7,.470,.495,-0.7,0.0,-6,"$300,000",8/H97,
