Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1967,24,SFG,NL,18,23,21,4,3,0,0,0,0,1,0,1,4,.143,.217,.143,.360,6,3,0,1,0,0,0,6/H4,,1967,24,SFG,NL,18,23,-2,0,0,0,0,-2,-0.2,1,-1,-0.1,.487,.499,-0.1,0.0,-1,,6/H4,
1969,26,TOT,MLB,32,87,72,9,17,2,0,0,0,2,2,11,5,.236,.337,.264,.601,69,19,2,0,4,0,1,6/H5,,1969,26,SFG,NL,15,29,0,0,0,0,0,0,0.0,1,1,0.1,.500,.500,0.1,0.0,1,"$9,000",/5H6,
1970,27,DET,AL,135,451,415,40,101,11,6,0,22,4,3,18,39,.243,.275,.299,.573,58,124,8,1,14,3,6,*6,,1969,26,DET,AL,17,58,-2,0,0,1,1,0,-0.1,2,2,0.2,.498,.500,0.0,0.2,0,,6/H,
1971,28,DET,AL,38,39,37,8,7,0,0,0,4,0,0,0,3,.189,.211,.189,.400,12,7,0,1,1,0,0,H6/54,,1970,27,DET,AL,135,451,-26,2,2,-18,7,-32,-3.6,15,-16,-2.0,.474,.479,0.0,-1.2,1,"$15,000",*6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971,28,DET,AL,38,39,-3,0,0,1,1,-1,-0.1,1,1,0.0,.498,.499,-0.1,0.2,-1,,H6/54,
