Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2022,22,KCR,AL,9,23,22,1,7,1,0,0,2,0,0,1,5,.318,.348,.364,.711,103,8,1,0,0,0,0,/6H,,2022,22,KCR,AL,9,23,0,0,0,-1,0,-1,-0.2,1,-1,-0.1,.483,.499,0.0,-0.1,0,,/6H,
2023,23,KCR,AL,123,515,464,59,126,20,4,4,50,23,7,38,115,.272,.323,.358,.681,86,166,9,2,1,10,0,56/D4H,,2023,23,KCR,AL,123,515,-8,0,-1,-1,3,-7,-0.6,18,11,1.1,.495,.496,1.1,0.3,12,,56/D4H,
2024,24,KCR,AL,60,274,251,40,67,12,3,5,35,14,0,19,45,.267,.316,.398,.715,102,100,1,0,2,2,0,*5,,2024,24,KCR,AL,60,274,0,4,1,1,2,8,0.8,9,16,1.6,.514,.505,1.6,0.3,15,,*5,
