Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2013,22,MIN,AL,97,378,351,34,88,17,2,14,43,1,2,23,117,.251,.304,.430,.734,100,151,4,4,0,0,0,79/DH,,2013,22,MIN,AL,97,378,0,0,1,-17,-4,-21,-2.0,14,-7,-0.7,.478,.487,1.0,-2.1,10,,79/DH,
2014,23,MIN,AL,103,410,372,46,86,16,3,20,57,1,2,31,127,.231,.300,.452,.752,109,168,6,6,0,1,4,9/HD,,2014,23,MIN,AL,103,410,5,-1,0,-10,-4,-10,-0.9,15,5,0.5,.489,.493,1.5,-1.4,15,"$512,500",9/HD,
2015,24,MIN,AL,19,65,58,6,16,0,0,2,8,0,0,4,15,.276,.338,.379,.718,98,22,2,2,0,1,4,7/9H,,2015,24,MIN,AL,19,65,-2,0,0,-2,-1,-5,-0.5,2,-3,-0.3,.473,.497,-0.1,-0.3,0,"$532,500",7/9H,
2016,25,TOT,MLB,69,222,202,17,41,7,1,8,23,1,1,18,80,.203,.270,.366,.637,72,74,1,1,0,1,0,97H/D,,2016,25,MIN,AL,32,114,-4,0,0,-4,-1,-9,-0.9,4,-5,-0.5,.470,.494,-0.1,-0.5,-1,"$535,000",79/HD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,25,TBR,AL,21,61,0,0,0,-2,-1,-3,-0.3,2,0,-0.1,.487,.498,0.2,-0.3,2,,9/HD7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,25,MIA,NL,2,2,-1,0,0,0,0,-1,-0.1,0,-1,,.471,.500,,0.0,0,,/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,25,SDP,NL,14,45,-5,0,0,-1,0,-6,-0.7,1,-5,-0.5,.453,.496,-0.4,-0.2,-4,,9/H,
