Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1993,23,COL,NL,34,79,71,12,13,2,0,3,7,1,1,8,16,.183,.266,.338,.604,51,24,1,0,0,0,0,53/H64,,1993,23,COL,NL,34,79,-5,0,0,-6,0,-10,-1.0,2,-7,-0.8,.470,.494,-0.2,-0.6,-2,,53/H64,
1995,25,COL,NL,4,7,5,0,0,0,0,0,0,0,0,2,3,.000,.286,.000,.286,-24,0,0,0,0,0,0,/5H,,1995,25,COL,NL,4,7,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.467,.499,-0.1,0.0,-1,,/5H,
1996,26,COL,NL,13,21,17,1,2,0,0,0,2,0,0,3,6,.118,.286,.118,.403,3,2,0,1,0,0,1,/H457,,1996,26,COL,NL,13,21,-3,0,0,-1,0,-4,-0.4,1,-3,-0.3,.471,.498,-0.2,-0.1,-2,"$120,000",/H457,
