Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,21,LAD,NL,7,25,22,3,4,1,1,0,1,3,0,2,2,.182,.250,.318,.568,58,7,0,0,1,0,1,/48H,,2015,21,LAD,NL,7,25,-2,1,0,0,0,0,-0.1,1,0,0.0,.493,.500,0.0,0.0,0,,/48H,
2016,22,CIN,NL,72,256,241,25,78,8,2,3,25,21,10,7,33,.324,.352,.411,.762,102,99,3,5,0,3,0,684H/7D,,2016,22,CIN,NL,72,256,0,-1,1,-6,2,-4,-0.5,8,4,0.3,.494,.497,0.9,-0.5,10,"$507,500",684H/7D,
2017,23,CIN,NL,143,518,487,50,126,9,4,5,37,23,8,20,70,.259,.297,.324,.622,63,158,7,7,3,1,1,46H/8,,2017,23,CIN,NL,143,518,-24,2,1,-4,5,-21,-2.2,17,-4,-0.6,.485,.487,-0.2,0.1,0,"$540,000",46H/8,
2018,24,CIN,NL,157,683,632,85,182,31,4,14,58,23,6,29,75,.288,.326,.416,.742,98,263,12,9,8,5,4,*6/H9,,2018,24,CIN,NL,157,683,-4,1,1,-3,8,4,0.1,21,25,2.2,.503,.503,2.7,0.4,28,"$570,000",*6/H9,
2019,25,CIN,NL,141,403,376,37,90,18,2,6,33,7,6,17,58,.239,.285,.346,.631,60,130,9,8,0,2,0,467H/581,,2019,25,CIN,NL,141,403,-23,-2,-1,1,3,-22,-2.4,13,-9,-1.2,.484,.486,-1.1,0.2,-10,"$2,775,000",467H/581,
2020,26,BOS,AL,34,120,111,13,25,8,1,1,8,1,1,5,18,.225,.275,.342,.617,64,38,3,3,0,1,0,4/7H65D1,,2020,26,BOS,AL,34,120,-5,0,0,1,1,-4,-0.4,4,0,0.0,.489,.498,-0.1,0.2,-1,"$3,000,000",4/7H65D1,
2021,27,NYM,NL,64,154,142,21,29,7,0,6,20,1,0,9,26,.204,.266,.380,.647,75,54,5,3,0,0,0,4H/5D76,,2021,27,NYM,NL,64,154,-5,0,-1,0,1,-5,-0.5,5,1,0.0,.493,.497,0.0,0.1,1,"$570,500",4H/5D76,
