Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2021,26,SEA,AL,16,40,37,2,6,1,0,0,3,0,0,3,14,.162,.225,.189,.414,19,7,2,0,0,0,0,2/DH,,2021,26,SEA,AL,16,40,-4,0,0,1,1,-3,-0.3,1,-1,-0.1,.483,.498,-0.2,0.2,-2,,2/DH,
2022,27,TOT,MLB,10,22,20,3,1,0,0,0,1,0,0,2,9,.050,.136,.050,.186,-44,1,0,0,0,0,0,2,,2022,27,MIN,AL,2,5,0,0,0,0,0,0,0.0,0,0,0.0,.507,.500,0.0,0.0,0,,/2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,27,PIT,NL,8,17,-4,0,0,0,0,-3,-0.3,1,-3,-0.3,.458,.498,-0.3,0.0,-3,,/2,
