Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2009,25,SFG,NL,12,20,20,0,5,0,0,0,0,0,0,0,3,.250,.250,.250,.500,32,5,2,0,0,0,0,/H3D,,2009,25,SFG,NL,12,20,-2,0,0,0,0,-3,-0.3,1,-2,-0.2,.477,.498,-0.2,0.0,-2,,/H3D,
2011,27,SDP,NL,76,271,247,33,77,22,2,5,44,9,2,22,43,.312,.369,.478,.847,139,118,6,1,0,1,2,3H/7D9,,2011,27,SDP,NL,76,271,12,1,-1,0,-4,9,1.0,8,18,1.8,.513,.506,1.8,-0.4,18,,3H/7D9,
2012,28,SDP,NL,120,321,287,32,71,18,2,9,48,3,3,29,71,.247,.319,.418,.737,107,120,2,2,1,2,3,7H3/94D,,2012,28,SDP,NL,120,321,3,-1,1,0,-3,0,0.0,10,10,1.0,.500,.500,0.9,-0.3,10,"$486,600",7H3/94D,
2013,29,SDP,NL,126,318,288,33,65,17,0,9,35,3,0,27,79,.226,.297,.378,.675,94,109,4,2,1,0,1,H37/954,,2013,29,SDP,NL,126,318,-3,0,0,-2,-4,-9,-1.1,10,1,-0.1,.492,.494,0.2,-0.7,3,"$503,200",H37/954,
2014,30,HOU,AL,69,184,165,10,31,4,0,2,9,3,0,19,52,.188,.272,.248,.520,49,41,4,0,0,0,0,3H/7D5,,2014,30,HOU,AL,69,184,-11,0,0,1,-3,-13,-1.4,7,-6,-0.7,.479,.491,-0.9,-0.2,-7,"$1,300,000",3H/7D5,
