Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2016,22,OAK,AL,9,15,15,0,2,0,0,0,1,0,0,0,3,.133,.133,.133,.267,-26,2,0,0,0,0,0,/DH,,2016,22,OAK,AL,9,15,-3,-1,1,0,-1,-3,-0.3,1,-3,-0.3,.463,.498,-0.3,-0.1,-3,,/DH,
2017,23,OAK,AL,8,16,15,1,3,0,0,1,3,0,0,1,8,.200,.250,.400,.650,74,6,0,0,0,0,0,/7HD5,,2017,23,OAK,AL,8,16,-1,0,0,0,0,-1,-0.1,1,0,0.0,.491,.500,0.0,0.0,0,,/7HD5,
2018,24,TOT,AL,73,261,236,28,61,14,0,8,22,0,0,19,62,.258,.322,.419,.741,102,99,4,4,0,2,0,5/H7D,,2018,24,TEX,AL,13,41,-3,1,0,0,0,-2,-0.2,1,-1,-0.1,.482,.499,-0.1,0.0,-1,,/57H,
2019,25,BAL,AL,151,599,541,72,132,24,0,31,90,1,1,44,143,.244,.311,.460,.771,101,249,9,10,0,4,1,*D3H/57,,2018,24,BAL,AL,60,220,4,0,0,3,1,8,0.9,8,15,1.6,.513,.505,1.3,0.5,12,,5/HD,
2020,26,BAL,AL,52,216,195,29,50,10,0,12,31,0,0,17,64,.256,.324,.492,.816,118,96,4,3,0,1,0,3D/5H,,2019,25,BAL,AL,151,599,-2,1,0,-7,-11,-20,-1.7,21,2,0.4,.487,.488,0.9,-1.6,9,"$562,000",*D3H/57,
2021,27,DET,AL,14,55,53,7,10,3,0,4,7,0,0,1,16,.189,.218,.472,.690,85,25,2,1,0,0,0,/3D,,2020,26,BAL,AL,52,216,4,0,0,-2,-3,-1,-0.1,7,6,0.6,.498,.499,0.8,-0.5,8,,3D/5H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,27,DET,AL,14,55,-2,0,0,-1,-1,-4,-0.4,2,-2,-0.2,.474,.498,-0.1,-0.2,-1,"$570,500",/3D,
