Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2022,22,CHW,AL,11,36,35,3,4,1,0,1,1,0,0,1,12,.114,.139,.229,.367,2,8,2,0,0,0,0,/46DH,,2022,22,CHW,AL,11,36,-4,0,0,-2,0,-5,-0.6,1,-4,-0.5,.447,.496,-0.3,-0.2,-2,,/46DH,
2023,23,CHW,AL,52,173,164,12,33,6,0,6,14,0,1,5,40,.201,.224,.348,.571,54,57,3,0,3,1,1,45/H,,2023,23,CHW,AL,52,173,-11,-1,0,-3,2,-13,-1.4,6,-7,-0.8,.474,.492,-0.5,-0.1,-4,,45/H,
2024,24,CHW,AL,17,56,51,3,11,2,0,1,4,0,0,3,16,.216,.273,.314,.586,68,16,1,1,1,0,0,5/4H,,2024,24,CHW,AL,17,56,-2,0,0,-2,0,-4,-0.4,2,-2,-0.2,.477,.498,0.0,-0.2,0,,5/4H,
