Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1998,23,CHC,NL,2,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,/H6,,1998,23,CHC,NL,2,2,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.470,.500,-0.1,0.0,-1,,/H6,
1999,24,CHC,NL,54,199,181,16,45,9,1,2,18,0,2,8,25,.249,.291,.343,.633,62,62,5,4,3,3,0,6/H,,1999,24,CHC,NL,54,199,-10,-1,0,-5,3,-13,-1.4,6,-7,-0.8,.476,.492,-0.2,-0.2,-2,"$201,500",6/H,
2000,25,CHC,NL,82,213,198,17,42,6,3,5,24,1,1,11,43,.212,.251,.348,.600,52,69,8,0,2,2,1,5H6/4,,2000,25,CHC,NL,82,213,-17,1,0,2,2,-12,-1.3,7,-6,-0.6,.486,.493,-0.7,0.3,-7,"$217,500",5H6/4,
2001,26,ANA,AL,29,59,53,5,13,3,1,2,3,0,1,2,20,.245,.298,.453,.751,94,24,1,2,2,0,0,H46/D53,,2001,26,ANA,AL,29,59,0,0,0,1,0,1,0.1,2,3,0.3,.502,.500,0.2,0.1,2,"$232,000",H46/D53,
2002,27,ANA,AL,45,100,97,17,28,2,0,0,6,1,1,2,14,.289,.303,.309,.612,64,30,3,0,1,0,0,46H/53D89,,2002,27,ANA,AL,45,100,-3,0,0,-6,1,-8,-0.8,4,-4,-0.4,.482,.495,0.2,-0.5,2,"$240,000",46H/53D89,
