Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1967,25,HOU,NL,5,4,4,0,1,0,0,0,1,0,0,0,1,.250,.250,.250,.500,47,1,0,0,0,0,0,/H,,1967,25,HOU,NL,5,4,0,0,0,0,0,0,0.0,0,0,,.494,.500,,0.0,0,,/H,
1968,26,HOU,NL,27,109,100,9,24,5,0,0,7,0,2,4,12,.240,.269,.290,.559,71,29,1,0,5,0,0,9/47H,,1968,26,HOU,NL,27,109,-2,-1,0,-1,-1,-4,-0.5,4,0,-0.1,.481,.497,-0.1,-0.1,0,,9/47H,
1969,27,MON,NL,47,130,126,7,36,5,0,2,12,1,2,3,14,.286,.302,.373,.675,89,47,3,0,1,0,0,7H8/45,,1969,27,MON,NL,47,130,-1,-1,0,0,-1,-3,-0.3,4,2,0.2,.494,.498,0.2,-0.1,2,,7H8/45,
1970,28,MON,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/H,,1970,28,MON,NL,1,1,0,0,0,0,0,0,0.0,0,0,,.470,.500,,0.0,0,,/H,
