Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,23,PHI,NL,147,537,495,64,147,30,3,8,41,16,8,28,129,.297,.344,.418,.762,111,207,6,8,5,1,0,*8H,,2015,23,PHI,NL,147,537,7,2,0,10,3,23,2.4,17,40,4.1,.517,.515,3.0,1.4,30,,*8H,
2016,24,PHI,NL,159,656,583,87,167,21,6,15,49,25,7,63,134,.286,.361,.420,.781,109,245,6,6,2,2,7,*8/H,AS,2016,24,PHI,NL,159,656,8,2,2,10,4,26,2.6,21,48,4.6,.517,.517,3.6,1.4,38,"$528,000",*8/H,AS
2017,25,PHI,NL,138,563,526,67,148,42,3,14,56,8,5,31,126,.281,.325,.452,.778,103,238,13,4,0,2,4,*8/H,,2017,25,PHI,NL,138,563,0,-2,-1,9,3,10,0.9,18,28,2.7,.507,.506,1.8,1.2,19,"$1,600,000",*8/H,
2018,26,PHI,NL,148,597,550,64,140,19,3,22,71,5,2,38,122,.255,.310,.420,.730,94,231,11,7,1,1,3,*8/97H,,2018,26,PHI,NL,148,597,-7,1,1,-8,3,-11,-1.4,19,9,0.5,.492,.493,1.5,-0.7,17,"$3,350,000",*8/97H,
2019,27,PHI,NL,39,139,126,12,28,10,1,1,16,2,2,11,33,.222,.288,.341,.629,63,43,0,1,0,1,0,8/H,,2019,27,PHI,NL,39,139,-8,0,1,-3,1,-8,-0.9,5,-4,-0.5,.478,.495,-0.1,-0.3,-1,"$5,350,000",8/H,
2021,29,PHI,NL,124,492,450,59,117,27,2,13,51,6,1,29,77,.260,.310,.416,.726,95,187,6,6,1,5,0,*87/H9,,2021,29,PHI,NL,124,492,-1,0,1,1,2,2,0.1,17,19,1.8,.502,.501,1.7,0.2,18,"$10,350,000",*87/H9,
2022,30,PHI,NL,62,197,185,23,44,9,1,5,21,6,0,11,42,.238,.279,.378,.658,85,70,3,0,0,1,0,87H/9,,2022,30,PHI,NL,62,197,-2,0,0,-3,1,-4,-0.4,7,2,0.2,.493,.497,0.5,-0.2,5,"$1,750,000",87H/9,
