Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2019,22,LAA,AL,108,406,357,44,85,18,3,7,33,2,5,40,93,.238,.321,.364,.685,82,130,6,5,1,3,0,46/H,,2019,22,LAA,AL,108,406,-6,-1,1,-1,3,-4,-0.3,15,10,1.1,.496,.497,1.1,0.4,11,,46/H,
2020,23,LAA,AL,33,106,90,12,14,1,0,1,3,3,1,14,26,.156,.269,.200,.469,32,18,2,0,2,0,0,4/5H6,,2020,23,LAA,AL,33,106,-8,0,0,0,1,-7,-0.8,4,-4,-0.4,.478,.495,-0.4,0.1,-4,,4/5H6,
2021,24,LAA,AL,54,190,174,22,35,1,0,6,18,1,0,9,38,.201,.246,.310,.556,50,54,3,2,3,2,0,695/H47,,2021,24,LAA,AL,54,190,-13,2,1,-2,1,-11,-1.1,6,-4,-0.4,.480,.493,-0.2,-0.1,-2,,695/H47,
2022,25,LAA,AL,127,511,489,45,129,22,4,17,52,6,2,17,79,.264,.294,.429,.724,102,210,11,4,1,0,0,456/H97,,2022,25,LAA,AL,127,511,-1,1,0,1,5,6,0.7,17,24,2.4,.505,.504,2.3,0.6,23,,456/H97,
2023,26,LAA,AL,126,445,394,55,104,15,4,16,51,6,4,41,82,.264,.339,.444,.783,111,175,3,6,0,4,0,465H9/78,,2023,26,LAA,AL,126,445,6,1,1,-8,4,4,0.4,15,19,1.9,.503,.502,2.7,-0.4,27,"$2,300,000",465H9/78,
2024,27,LAA,AL,46,175,162,24,53,9,1,4,18,14,5,11,23,.327,.374,.469,.843,137,76,2,1,1,0,0,45/H6,,2024,27,LAA,AL,46,175,7,2,1,-3,1,8,0.8,6,14,1.4,.518,.505,1.8,-0.2,17,"$4,400,000",45/H6,
