Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,22,LAD,NL,8,8,6,1,2,1,0,0,1,0,0,1,1,.333,.429,.500,.929,160,3,0,0,1,0,0,/4H5,,2015,22,LAD,NL,8,8,1,0,0,0,0,1,0.1,0,1,0.1,.511,.501,0.1,0.0,1,,/4H5,
2016,23,NYY,AL,72,169,155,20,40,7,4,1,12,2,1,10,20,.258,.305,.374,.680,81,58,4,1,1,1,0,564H/D9,,2016,23,NYY,AL,72,169,-3,1,0,-2,1,-3,-0.3,6,3,0.3,.496,.498,0.5,0.0,5,"$508,600",564H/D9,
2017,24,NYY,AL,108,336,315,35,92,15,1,3,36,2,0,11,43,.292,.314,.375,.689,81,118,9,1,5,4,0,465H/D9,,2017,24,NYY,AL,108,336,-8,2,2,-2,4,-3,-0.3,12,9,0.9,.497,.498,1.1,0.2,11,"$561,900",465H/D9,
2018,25,NYY,AL,41,102,100,9,28,7,1,0,7,0,0,2,16,.280,.294,.370,.664,81,37,3,0,0,0,0,45/6H,,2018,25,NYY,AL,41,102,-2,0,0,-1,1,-2,-0.1,4,2,0.2,.496,.499,0.3,0.1,3,"$615,500",45/6H,
2019,26,MIN,AL,7,17,16,3,3,0,0,0,1,1,0,0,3,.188,.235,.188,.423,16,3,0,1,0,0,0,/6457,,2019,26,MIN,AL,7,17,-1,0,0,-2,0,-3,-0.3,1,-3,-0.2,.458,.498,-0.1,-0.2,0,"$800,000",/6457,
2020,27,PHI,NL,4,7,7,1,1,1,0,0,0,0,0,0,0,.143,.143,.286,.429,12,2,1,0,0,0,0,/648,,2020,27,PHI,NL,4,7,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.477,.499,-0.1,0.0,-1,,/648,
2021,28,PHI,NL,111,344,318,30,77,10,1,7,41,2,1,19,41,.242,.286,.346,.632,71,110,7,1,5,1,2,56H4/18,,2021,28,PHI,NL,111,344,-13,1,2,0,4,-7,-0.8,12,5,0.3,.493,.495,0.4,0.3,5,,56H4/18,
