Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2013,24,MIN,AL,21,83,76,10,26,5,0,4,12,0,0,6,22,.342,.398,.566,.963,162,43,3,1,0,0,0,2/HD,,2013,24,MIN,AL,21,83,6,0,0,-1,1,6,0.6,3,9,0.9,.529,.504,1.0,0.1,10,,2/HD,
2014,25,MIN,AL,57,197,169,25,37,8,0,7,18,0,1,24,50,.219,.315,.391,.705,98,66,7,1,0,3,0,2DH,,2014,25,MIN,AL,57,197,-1,0,-1,-4,0,-7,-0.7,7,0,0.0,.487,.495,0.4,-0.4,4,"$500,000",2DH,
2016,27,MIL,NL,6,6,5,1,0,0,0,0,0,0,0,1,4,.000,.167,.000,.167,-50,0,0,0,0,0,0,/H,,2016,27,MIL,NL,6,6,-1,0,0,0,0,-1,-0.1,0,-1,,.481,.499,,0.0,-1,,/H,
